t_s,x,y,yaw,goal_x,goal_y,wp_idx,wp_change,d_wp,abs_dtheta,omega,cum_Sw,cum_Zw
366.206362368,1.704972267150879,0.9700371623039246,-2.7353904597471197,-61.0,-22.0,12,0,66.77975856696237,0.055063695674162805,0.0,134.1936340047374,16
366.35470208,1.8278908729553223,0.9722948670387268,-2.7716914995851893,-61.0,-22.0,12,0,66.89596552111462,0.019362991147537034,0.0,134.1936340047374,16
366.45452032,1.9518680572509766,0.9745693802833557,-2.805624399241502,-61.0,-22.0,12,0,67.01319668622733,0.01396647542108953,0.0,134.1936340047374,16
366.57321728,2.0569992065429688,0.975626528263092,-2.7912377587402584,-61.0,-22.0,12,0,67.11232795321726,0.0009424195993386064,0.0,134.1936340047374,16
366.655465984,2.183098316192627,0.9755180478096008,-2.76489823176361,-61.0,-22.0,12,0,67.2307841869994,0.027925571888324452,0.0,134.1936340047374,16
366.796941312,2.288003444671631,0.9748774170875549,-2.73083355173052,-61.0,-22.0,12,0,67.32916435203224,0.06253165846873054,0.0,134.1936340047374,16
366.888166912,2.395315647125244,0.9717811942100525,-2.6553658936628093,-61.0,-22.0,12,0,67.42899062890757,0.13858554455374072,0.0,134.1936340047374,16
367.006623232,2.527733325958252,0.9677442908287048,-2.551422432278561,-61.0,-22.0,12,0,67.5521293472157,0.2432530040375105,0.0,134.1936340047374,16
367.107113728,2.657360076904297,0.9671153426170349,-2.541493506968038,-61.0,-22.0,12,0,67.67383452355662,0.25384192765734737,0.0,134.1936340047374,16
367.207254784,2.761157989501953,0.9666935801506042,-2.540652646720714,-61.0,-22.0,12,0,67.77133820551842,0.2552084322531778,0.0,134.1936340047374,16
367.353035264,2.8837647438049316,0.9667879939079285,-2.543972070949994,-61.0,-22.0,12,0,67.8867347027306,0.2524997425389137,0.0,134.1936340047374,16
367.43165568,2.9871644973754883,0.9654074311256409,-2.5401158286047876,-61.0,-22.0,12,0,67.98358006821788,0.25688964860726404,0.0,134.1936340047374,16
367.558173696,3.1148476600646973,0.9605106711387634,-2.5426582449599797,-61.0,-22.0,12,0,68.10211994316168,0.2550482577245563,0.0,134.1936340047374,16
