t_ns,t_s,x,y,z,qx,qy,qz,qw,yaw,vx,vy,vz,wx,wy,wz
1772565846932523754,243.882971392,-7.651002883911133,0.35959506034851074,-42.7607536315918,-0.005943268537521362,-0.9167428612709045,0.0009555518627166748,0.39943256974220276,3.124467968638917,0.0,0.0,0.0,0.0,0.0,0.0
1772565847040580132,243.991027712,-7.71624231338501,0.35741132497787476,-42.822479248046875,-0.007538706064224243,-0.9168528318405151,0.0005242973566055298,0.3991539180278778,3.120689198542976,0.0,0.0,0.0,0.0,0.0,0.0
1772565847143320247,244.093767936,-7.769430160522461,0.35717523097991943,-42.873416900634766,-0.009348064661026001,-0.9168065786361694,-0.0011495351791381836,0.39922046661376953,3.117777478102635,0.0,0.0,0.0,0.0,0.0,0.0
1772565847242005008,244.192452608,-7.821196556091309,0.35895103216171265,-42.925655364990234,-0.012150853872299194,-0.9165780544281006,-0.002222985029220581,0.3996649980545044,3.1114690257293205,0.0,0.0,0.0,0.0,0.0,0.0
1772565847349922795,244.300370432,-7.88273811340332,0.36115461587905884,-42.98829650878906,-0.016280733048915863,-0.9163029789924622,-0.0030131936073303223,0.40014347434043884,3.101238960555262,0.0,0.0,0.0,0.0,0.0,0.0
1772565847495212587,244.44566016,-7.948696613311768,0.3636093735694885,-43.04824447631836,-0.015139540657401085,-0.9161387085914612,-0.0032299007289111614,0.4005623459815979,3.1045468914345027,0.0,0.0,0.0,0.0,0.0,0.0
1772565847592535285,244.542982912,-8.00318717956543,0.36511921882629395,-43.09934616088867,-0.015175357460975647,-0.9159719944000244,-0.0036789849400520325,0.40093833208084106,3.1049586428480844,0.0,0.0,0.0,0.0,0.0,0.0
1772565847692681078,244.643128576,-8.056551933288574,0.366335928440094,-43.15072250366211,-0.01619415171444416,-0.9157856106758118,-0.004270501900464296,0.401318222284317,3.102883753927541,0.0,0.0,0.0,0.0,0.0,0.0
1772565847812018636,244.762466304,-8.121862411499023,0.3683924674987793,-43.21123504638672,-0.01558615081012249,-0.9156076908111572,-0.004204682540148497,0.4017485976219177,3.1044252534390115,0.0,0.0,0.0,0.0,0.0,0.0
1772565847942426654,244.89287424,-8.187911033630371,0.3702004551887512,-43.271453857421875,-0.014604508876800537,-0.9154714345932007,-0.004685409367084503,0.40209054946899414,3.1076343566048474,0.0,0.0,0.0,0.0,0.0,0.0
1772565848045382441,244.995830016,-8.241194725036621,0.37106937170028687,-43.320945739746094,-0.014523565769195557,-0.9153388738632202,-0.005163855850696564,0.4023894667625427,3.1084085232142074,0.0,0.0,0.0,0.0,0.0,0.0
1772565848144404591,245.094852096,-8.294082641601562,0.3725225329399109,-43.370635986328125,-0.014860205352306366,-0.9151875972747803,-0.005417376756668091,0.4027177095413208,3.1077836208858116,0.0,0.0,0.0,0.0,0.0,0.0
1772565848234403763,245.184851456,-8.35891056060791,0.3741074204444885,-43.429378509521484,-0.01365746557712555,-0.9150500893592834,-0.0055960193276405334,0.40307024121284485,3.1112425937683486,0.0,0.0,0.0,0.0,0.0,0.0
1772565848346041283,245.29648896,-8.42230224609375,0.37554818391799927,-43.48902130126953,-0.014600886031985283,-0.9148792028427124,-0.00650144275277853,0.4034113883972168,3.1097523240946288,0.0,0.0,0.0,0.0,0.0,0.0
1772565848449156806,245.39960448,-8.475861549377441,0.3767188787460327,-43.53879928588867,-0.014832958579063416,-0.9147207140922546,-0.0069039613008499146,0.4037553071975708,3.109591316262502,0.0,0.0,0.0,0.0,0.0,0.0
1772565848598000602,245.548448256,-8.530435562133789,0.3776695132255554,-43.58808517456055,-0.013785198330879211,-0.9146132469177246,-0.006891615688800812,0.40403616428375244,3.112412916933299,0.0,0.0,0.0,0.0,0.0,0.0
1772565848694058578,245.644506112,-8.595927238464355,0.37980735301971436,-43.64580154418945,-0.011359036900103092,-0.9144479632377625,-0.006916597951203585,0.4044850170612335,3.1190260868880393,0.0,0.0,0.0,0.0,0.0,0.0
1772565848816428969,245.766876672,-8.647555351257324,0.3810374140739441,-43.69572067260742,-0.01332826353609562,-0.9142488241195679,-0.007855490781366825,0.4048577547073364,3.114791526930336,0.0,0.0,0.0,0.0,0.0,0.0
1772565848951427619,245.9018752,-8.722049713134766,0.38245922327041626,-43.766258239746094,-0.014868922531604767,-0.9140111804008484,-0.008689641952514648,0.405323326587677,3.1115912601668563,0.0,0.0,0.0,0.0,0.0,0.0
1772565849045034034,245.9954816,-8.776801109313965,0.3840565085411072,-43.81794357299805,-0.015632040798664093,-0.9138069748878479,-0.009143136441707611,0.4057447612285614,3.110048232350486,0.0,0.0,0.0,0.0,0.0,0.0
1772565849142019999,246.092467712,-8.84646987915039,0.3845897316932678,-43.879241943359375,-0.013150505721569061,-0.9136313199996948,-0.009158879518508911,0.40622782707214355,3.116824805118988,0.0,0.0,0.0,0.0,0.0,0.0
1772565849251260805,246.201708544,-8.902859687805176,0.3854309916496277,-43.93038558959961,-0.012251072563230991,-0.9134540557861328,-0.008967184461653233,0.40665867924690247,3.1190413548530733,0.0,0.0,0.0,0.0,0.0,0.0
1772565849393526567,246.343974144,-8.970500946044922,0.38730376958847046,-43.99060821533203,-0.010713659226894379,-0.9132174253463745,-0.009121380746364594,0.40722960233688354,3.123425464126024,0.0,0.0,0.0,0.0,0.0,0.0
1772565849500227633,246.4506752,-9.026994705200195,0.3881230354309082,-44.04076385498047,-0.009474039077758789,-0.9130336046218872,-0.009212113916873932,0.40767019987106323,3.1269266737081622,0.0,0.0,0.0,0.0,0.0,0.0
1772565849602924313,246.553371904,-9.094274520874023,0.3889567255973816,-44.10145568847656,-0.008540518581867218,-0.9128048419952393,-0.009171873331069946,0.40820378065109253,3.129436420095544,0.0,0.0,0.0,0.0,0.0,0.0
1772565849699391683,246.64983936,-9.151291847229004,0.39023685455322266,-44.151756286621094,-0.006870888639241457,-0.9126013517379761,-0.009089828468859196,0.40869176387786865,3.133917042401349,0.0,0.0,0.0,0.0,0.0,0.0
1772565849801245499,246.751693056,-9.21957015991211,0.3910803198814392,-44.21247482299805,-0.0055389925837516785,-0.9123677015304565,-0.009248331189155579,0.4092297852039337,3.137776419502997,0.0,0.0,0.0,0.0,0.0,0.0
1772565849901738962,246.852186624,-9.275484085083008,0.39153820276260376,-44.2628173828125,-0.0049393922090530396,-0.9121547937393188,-0.00931508094072342,0.4097100794315338,3.1395180390648347,0.0,0.0,0.0,0.0,0.0,0.0
1772565850002050684,246.952498176,-9.330950736999512,0.39292752742767334,-44.3128776550293,-0.004520729649811983,-0.911932647228241,-0.00954731646925211,0.4102040231227875,3.1409708698875654,0.0,0.0,0.0,0.0,0.0,0.0
1772565850149794067,247.100241664,-9.397866249084473,0.394537091255188,-44.37328338623047,-0.004175946116447449,-0.9116799235343933,-0.009729355573654175,0.4107646644115448,-3.1410210418321034,0.0,0.0,0.0,0.0,0.0,0.0
1772565850249390794,247.199838464,-9.465578079223633,0.3952157497406006,-44.4340705871582,-0.0038855448365211487,-0.911454975605011,-0.01011165976524353,0.4112573564052582,-3.139727790162717,0.0,0.0,0.0,0.0,0.0,0.0
1772565850350028143,247.300475648,-9.522395133972168,0.39665108919143677,-44.48444747924805,-0.0032981783151626587,-0.9112815260887146,-0.010334186255931854,0.41164112091064453,-3.137815809544068,0.0,0.0,0.0,0.0,0.0,0.0
1772565850449236878,247.399684608,-9.578596115112305,0.3979467749595642,-44.53515625,-0.0038465335965156555,-0.9111253023147583,-0.010587543249130249,0.4119754731655121,-3.1389973394035096,0.0,0.0,0.0,0.0,0.0,0.0
1772565850550014579,247.50046208,-9.647093772888184,0.39888638257980347,-44.59543228149414,-0.0033133327960968018,-0.9109972715377808,-0.010693937540054321,0.41226041316986084,-3.137380187724266,0.0,0.0,0.0,0.0,0.0,0.0
1772565850703524738,247.65397248,-9.715333938598633,0.4016779661178589,-44.65591049194336,-0.003456250298768282,-0.9109230637550354,-0.010741093195974827,0.41242197155952454,-3.1377081642291382,0.0,0.0,0.0,0.0,0.0,0.0
1772565850818536907,247.768984576,-9.772192001342773,0.40297919511795044,-44.70640182495117,-0.0033500567078590393,-0.9108084440231323,-0.010737977921962738,0.4126761257648468,-3.1374067507015115,0.0,0.0,0.0,0.0,0.0,0.0
1772565850900386833,247.850834432,-9.840574264526367,0.4046953320503235,-44.76659393310547,-0.002554267644882202,-0.910605788230896,-0.010848186910152435,0.4131258428096771,-3.1350467382487572,0.0,0.0,0.0,0.0,0.0,0.0
1772565851011259618,247.961707264,-9.897305488586426,0.4070664048194885,-44.817596435546875,-0.0025850834790617228,-0.9104047417640686,-0.01074755284935236,0.41357114911079407,-3.1352349618431505,0.0,0.0,0.0,0.0,0.0,0.0
1772565851106714153,248.057161728,-9.965621948242188,0.4085243344306946,-44.87886047363281,-0.002711251378059387,-0.9101942777633667,-0.01051560789346695,0.4140393137931824,-3.1358522568517775,0.0,0.0,0.0,0.0,0.0,0.0
1772565851249245997,248.199693568,-10.022997856140137,0.4100727438926697,-44.929508209228516,-0.002424001693725586,-0.9100124835968018,-0.010862812399864197,0.41443151235580444,-3.1345978404033774,0.0,0.0,0.0,0.0,0.0,0.0
1772565851349354815,248.299802368,-10.092552185058594,0.4139893651008606,-44.98869705200195,-0.0005019307718612254,-0.9097790122032166,-0.01090701762586832,0.41494935750961304,-3.129180218601111,0.0,0.0,0.0,0.0,0.0,0.0
1772565851452970659,248.403418368,-10.152121543884277,0.41540080308914185,-45.03419876098633,0.0051510329358279705,-0.9096453785896301,-0.010475634597241879,0.415221631526947,-3.114016300735563,0.0,0.0,0.0,0.0,0.0,0.0
1772565851566071299,248.516518912,-10.228316307067871,0.415718138217926,-45.08655548095703,0.01691693812608719,-0.9094011783599854,-0.010006636381149292,0.41545552015304565,-3.0819235503646847,0.0,0.0,0.0,0.0,0.0,0.0
1772565851666686290,248.617133824,-10.286518096923828,0.41589176654815674,-45.13671875,0.017781155183911324,-0.9092530012130737,-0.009943426586687565,0.4157451093196869,-3.0795578429742534,0.0,0.0,0.0,0.0,0.0,0.0
1772565851806448626,248.756896256,-10.352652549743652,0.41566699743270874,-45.197994232177734,0.015616282820701599,-0.9091160297393799,-0.009419091045856476,0.4161435663700104,-3.0861755423936557,0.0,0.0,0.0,0.0,0.0,0.0
1772565851914313488,248.864761088,-10.406362533569336,0.41532766819000244,-45.24923324584961,0.012300757691264153,-0.9090376496315002,-0.00926028098911047,0.416429340839386,-3.095557544826372,0.0,0.0,0.0,0.0,0.0,0.0
1772565852011341017,248.961788672,-10.47397232055664,0.4152687191963196,-45.30897521972656,0.01164177805185318,-0.9088754653930664,-0.009359478950500488,0.41680002212524414,-3.0972179906453152,0.0,0.0,0.0,0.0,0.0,0.0
1772565852117365166,249.067812864,-10.534749031066895,0.41521668434143066,-45.35692596435547,0.015396907925605774,-0.9087991714477539,-0.009042374789714813,0.4168514311313629,-3.08716135216395,0.0,0.0,0.0,0.0,0.0,0.0
1772565852217332562,249.167780096,-10.603400230407715,0.41667085886001587,-45.41530227661133,0.015780845656991005,-0.9087468981742859,-0.00968251470476389,0.41693684458732605,-3.0852639522336682,0.0,0.0,0.0,0.0,0.0,0.0
1772565852319867787,249.27031552,-10.659607887268066,0.4165249466896057,-45.463932037353516,0.015555499121546745,-0.9087116718292236,-0.009932070039212704,0.4170161187648773,-3.0855611830754084,0.0,0.0,0.0,0.0,0.0,0.0
1772565852450970426,249.401417984,-10.727521896362305,0.4180467128753662,-45.521846771240234,0.016138441860675812,-0.9086441993713379,-0.009974256157875061,0.4171401262283325,-3.083864992978356,0.0,0.0,0.0,0.0,0.0,0.0
1772565852549436628,249.499884288,-10.78428840637207,0.41951513290405273,-45.56972885131836,0.016692325472831726,-0.9085917472839355,-0.010529987514019012,0.4172188937664032,-3.081600769019401,0.0,0.0,0.0,0.0,0.0,0.0
1772565852651398246,249.60184576,-10.85157299041748,0.4184609651565552,-45.629486083984375,0.015499094501137733,-0.9085347056388855,-0.010409862734377384,0.41739198565483093,-3.0850508763099573,0.0,0.0,0.0,0.0,0.0,0.0
1772565852769983474,249.720431104,-10.907943725585938,0.41801542043685913,-45.67940902709961,0.014761380851268768,-0.9084914326667786,-0.00986507534980774,0.4175262153148651,-3.087782919016009,0.0,0.0,0.0,0.0,0.0,0.0
1772565852915386353,249.865833984,-10.97594928741455,0.4184958338737488,-45.73960494995117,0.013655595481395721,-0.9084230065345764,-0.00981469452381134,0.41771385073661804,-3.0909034478630595,0.0,0.0,0.0,0.0,0.0,0.0
1772565853019375453,249.969822976,-11.033902168273926,0.41933077573776245,-45.78805923461914,0.014226451516151428,-0.9084377884864807,-0.01039154827594757,0.4176487326622009,-3.088582733358364,0.0,0.0,0.0,0.0,0.0,0.0
1772565853125316816,250.07576448,-11.102792739868164,0.41954439878463745,-45.84620666503906,0.014814041554927826,-0.9084982872009277,-0.01016872376203537,0.41750210523605347,-3.0872514638304507,0.0,0.0,0.0,0.0,0.0,0.0
1772565853222307090,250.172754688,-11.159393310546875,0.42086881399154663,-45.89453887939453,0.014573566615581512,-0.9085804224014282,-0.01031465083360672,0.4173283278942108,-3.0877610567624427,0.0,0.0,0.0,0.0,0.0,0.0
1772565853322433145,250.27288064,-11.227888107299805,0.42141956090927124,-45.95158004760742,0.014989778399467468,-0.9087129235267639,-0.01122884452342987,0.4170013666152954,-3.0854850610827365,0.0,0.0,0.0,0.0,0.0,0.0
1772565853437333275,250.387780864,-11.297002792358398,0.42237919569015503,-46.00823211669922,0.01647436060011387,-0.9088026881217957,-0.01117278728634119,0.4167511761188507,-3.081464678641599,0.0,0.0,0.0,0.0,0.0,0.0
1772565853550521770,250.500969472,-11.353119850158691,0.4224216341972351,-46.05786895751953,0.015527837909758091,-0.9088767170906067,-0.010666684247553349,0.4166392385959625,-3.0847602405337806,0.0,0.0,0.0,0.0,0.0,0.0
1772565853649724640,250.600172288,-11.409571647644043,0.42279285192489624,-46.10700225830078,0.014947250485420227,-0.9089796543121338,-0.011131994426250458,0.41642364859580994,-3.085816732543319,0.0,0.0,0.0,0.0,0.0,0.0
1772565853775719745,250.726167296,-11.477909088134766,0.422282874584198,-46.16748046875,0.014403842389583588,-0.9090714454650879,-0.00970863550901413,0.4162781536579132,-3.0891588463287105,0.0,0.0,0.0,0.0,0.0,0.0
1772565853904465490,250.854913024,-11.545577049255371,0.42268115282058716,-46.229305267333984,0.012754812836647034,-0.9092178344726562,-0.008240923285484314,0.416043758392334,-3.0956396598175027,0.0,0.0,0.0,0.0,0.0,0.0
1772565853977038038,250.927485696,-11.602584838867188,0.4220110774040222,-46.282684326171875,0.01170521229505539,-0.9093672037124634,-0.004005908966064453,0.41581040620803833,-3.1039610036203085,0.0,0.0,0.0,0.0,0.0,0.0
1772565854120611795,251.071059456,-11.661490440368652,0.4204331040382385,-46.336761474609375,0.011114664375782013,-0.9094907641410828,0.0003580152988433838,0.41557547450065613,-3.1111597950893186,0.0,0.0,0.0,0.0,0.0,0.0
1772565854239952130,251.190399744,-11.74429988861084,0.41904252767562866,-46.409244537353516,0.010744750499725342,-0.9096219539642334,0.0021820813417434692,0.4152923822402954,-3.114516185847588,0.0,0.0,0.0,0.0,0.0,0.0
