t_s,x,y,yaw,goal_x,goal_y,d_wp,abs_dtheta,omega,cum_Sw,cum_Zw
24.37915648,6.062292098999023,0.15962350368499756,-3.113669687459876,-4.0,-23.0,25.251096671590656,1.1330042204044002,0.0,37.161139521818924,2
24.481014272,6.290643692016602,0.16619127988815308,-3.1100898165720863,-4.0,-23.0,25.348959860562463,1.1212653158695458,0.0,37.161139521818924,2
24.589984512,6.497896194458008,0.174288809299469,-3.114984764590872,-4.0,-23.0,25.4411769839062,1.1188445398048676,1.566177399119674,37.246472885351245,3
24.699738112,6.747854232788086,0.18585354089736938,-3.1234635492463942,-4.0,-23.0,25.555824679106014,1.1186005841310767,5.0,37.60680368924725,3
24.84243968,6.968591690063477,0.1949419379234314,-3.128954918861072,-4.0,-23.0,25.657656462876123,1.1164355026861843,5.0,38.32031152924725,3
24.920534272,7.200010299682617,0.20286065340042114,-3.1156764804819876,-4.0,-23.0,25.764568174415697,1.095168451026213,5.0,38.71078448924726,3
25.055476992,7.49261474609375,0.21178537607192993,-3.1271504755507085,-4.0,-23.0,25.901103722562834,1.09661830856977,5.0,39.38549808924725,3
25.135226112,7.775800704956055,0.22104650735855103,-3.1200149051092083,-4.0,-23.0,26.03625324695841,1.0798931385073836,5.0,39.78424368924726,3
25.243193856,8.107881546020508,0.23522716760635376,-3.1305869418830277,-4.0,-23.0,26.20069802624992,1.0794056859463268,4.880926229994904,40.31765434608875,3
25.339309568,8.428340911865234,0.23791509866714478,-3.1411523240129102,-4.0,-23.0,26.352691626367232,1.0792339434022278,0.04936018539906547,40.55459334067851,3
25.45297024,8.777959823608398,0.24615460634231567,-3.111123803754927,-4.0,-23.0,26.526589702329254,1.037729532655593,0.0,40.55739849659976,3
25.555587584,9.118318557739258,0.25749409198760986,-3.1135204106555063,-4.0,-23.0,26.702084435885613,1.0291602708085854,-1.6730384183287634,40.64323987604919,4
25.66806528,9.411199569702148,0.2667454481124878,-3.111671751979767,-4.0,-23.0,26.855199080357647,1.0179816602991352,-2.478080872367095,40.8766940428685,4
25.778971136,9.726907730102539,0.2783176302909851,-3.110352319944834,-4.0,-23.0,27.024212616234813,1.0067545255671178,0.0,41.014110883062045,4
25.875498752,10.032960891723633,0.28775298595428467,-3.1203171728026504,-4.0,-23.0,27.189031437759375,1.0071993045395686,0.0,41.014110883062045,4
25.978566656,10.34115219116211,0.29689788818359375,-3.119678908782986,-4.0,-23.0,27.357158064801375,0.9970844074813767,0.0,41.014110883062045,4
26.080217344,10.710721969604492,0.30817121267318726,-3.1184614045934667,-4.0,-23.0,27.56222389696251,0.9846625750561966,0.0,41.014110883062045,4
26.227440128,11.019060134887695,0.3172682523727417,-3.117050277164218,-4.0,-23.0,27.735665957183766,0.9740251887831359,0.0,41.014110883062045,4
26.317582336,11.388795852661133,0.32795339822769165,-3.115498302775076,-4.0,-23.0,27.946528363014313,0.9615575337439886,0.0,41.014110883062045,4
26.426900224,11.696598052978516,0.336709201335907,-3.1137858619955736,-4.0,-23.0,28.12445887096292,0.9508808195359322,0.0,41.014110883062045,4
